# depth fixed    no orc         port orcs      full orcs      demand         demand         demand
# limit speedup  partitioning                                 delay = 0      delay = 25ms   delay = 250ms
# L              (k_utils)      (k1_utils)     (k1_utils)     Runtime Spdup  Runtime Spdup  Runtime Spdup
#                fixed doubling fixed doubling fixed doubling 
  1      1        2.8    10.8    2.3    13.3     8.7   15.9   445288   1.0  445313   1.0   445538   1.0 
  3      1        6.4    11.2    5.5    12.4    11.5   14.4   438941   1.0  438966   1.0   439191   1.0
  6     2.3      11.0     9.6    9.9    12.7    13.1   14.9   197003   2.3  197028   2.3   197253   2.3
  9     4.7      12.9    10.2   13.1    13.3    17.0   15.9    82921   5.4   82946   5.4    83171   5.4
 12     3.3      13.9    11.6   13.1    14.1    15.8   16.5    73944   6.0   73969   6.0    74194   6.0
 15     5.3      14.0    10.9   13.7    14.1    19.8   18.6    52098   8.6   52148   8.6    52598   8.5
 18     8.9      15.1     8.5   15.0    14.6    18.6   17.2    27093  16.5   27483  16.2    31659  14.1  
 21    10.7      12.5    11.7   15.2    14.2    17.8   16.4    27978  15.9   28391  15.7    34059  13.1
 24     7.1      10.1     9.8   14.6    15.9    17.5   16.5    29851  14.9   30878  14.4    38780  11.5
 27     7.0       6.3     6.5   13.3    13.8    12.6   13.7    26073  17.1   27525  16.2    44392  10.0
 30     8.2       4.1     3.8   12.9    11.9    13.3   12.6    24769  18.0   27718  16.1    52897   8.4
