# depth Orcs         fixed    fixed    demand             demand             demand
# limit      BFtime  runtime  speedup  delay = 0          delay = 25ms       delay = 250ms
# L      S                             Orcs Runtime Spdup Orcs Runtime Spdup Orcs Runtime Spdup
  1      1       0   445959    1          1  445288   1.0    1  445313   1.0    1  445538   1.0 
  3      2       4   447358    1          1  438941   1.0    1  438966   1.0    1  439191   1.0
  6     12       4   192379    2.3        1  197003   2.3    1  197028   2.3    1  197253   2.3
  9     44      12    95587    4.7        1   82921   5.4    1   82946   5.4    1   83171   5.4
 12    134      58   136069    3.3        1   73944   6.0    1   73969   6.0    1   74194   6.0
 15    268     156    84448    5.3        3   52098   8.6    2   52148   8.6    2   52598   8.5
 18    472     332    50141    8.9       27   27093  16.5   16   27483  16.2   17   31659  14.1  
 21    848     672    41494   10.7        7   27978  15.9   39   28391  15.7   21   34059  13.1
 24   1410    1261    63207    7.1       40   29851  14.9   14   30878  14.4   17   38780  11.5
 27   2256    2281    63442    7.0       59   26073  17.1   93   27525  16.2   91   44392  10.0
 30   3396    3702    54270    8.2       66   24769  18.0  195   27718  16.1  130   52897   8.4
